id,title_original,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
OPW_0016,ح‍وض‌ ک‍وچ‍ک‌ ق‍ای‍ق‌ ک‍وچ‍ک,"Hoz-e Kuchak, Ghāyegh-e Kuchak","Small Pond, Small Boat",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1370,no,NA,,,Appendix D
OPW_0017,در بهار خرگوش سفیدم را یافتم,Dar Bahār Khargush-e Sefidam rā Yāftam,In Spring I Found My White Rabbit,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1370,yes,2,,,Appendix D
OPW_0018,خ‍واب‌ ی‍ک‌ س‍ی‍ب‌ س‍ی‍ب‌ ی‍ک‌ خ‍واب,"Khāb-e Yek Sib, Sib-e Yek Khāb","The Dream of an Apple, the Apple of a Dream",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1373,no,NA,,,Appendix D
OPW_0019,ش‍ب‌ ی‍ل‍دا: ق‍ص‍ه‌ی‌ ب‍ل‍ن‍دت‍ری‍ن‌ ش‍ب‌ س‍ال,Shab-e Yaldā: Ghesseh-ye Bolandtarin Shab-e Sāl,Yalda Night: The Story of the Longest Night of the Year,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1376,no,NA,,,Appendix D
OPW_0020,اسب و سیب و بهار,Asb va Sib va Bahār,"Horse, Apple, and Spring",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1380,yes,2,,,Appendix D
OPW_0021,در ب‍اغ‍چ‍ه‌ ع‍روس‌ و دام‍اد روی‍ی‍ده‌ ب‍ود,Dar Bāghcheh Arus va Dāmād Royideh Bud,"In the Garden, a Bride and Groom Had Grown",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1382,no,NA,,,Appendix D
OPW_0022,ب‍اران‌,Bārān,Rain,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1384,no,NA,,,Appendix D
OPW_0023,همۀ آن قایق‌های کاغذی,Hameh-ye Ān Ghāyegh-hā-ye Kāghazi,All Those Paper Boats,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1384,no,NA,,,Appendix D
OPW_0024,روزی‌ ک‍ه‌ م‍ه‌ ب‍ی‌ پ‍ای‍ان‌ ب‍ود,Ruzi ke Meh-e Bi-Pāyān Bud,The Day the Fog Was Endless,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1384,no,NA,,,Appendix D
OPW_0025,ب‍رف‌ ه‍ف‍ت‌ گ‍ل‌ ب‍ن‍ف‍ش‍ه‌ را پ‍وش‍ان‍ده‌ ب‍ود,Barf Haft Gol-e Banafsheh rā Pushānde Bud,Snow Had Covered Seven Violet Flowers,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1384,no,NA,,,Appendix D
OPW_0026,ن‍ش‍ان‍ی‌,Neshāni,The Address,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1384,no,NA,,,Appendix D
OPW_0027,پ‍س‍رک‌ ت‍ن‍ه‍ا روی‌ ب‍رف,Pesarak-e Tanhā Ru-ye Barf,The Lonely Boy on the Snow,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1385,no,NA,,,Appendix D
OPW_0028,بازهم نوشتم صبح، صبح آمد,"Bāz Ham Neveshtam Sobh, Sobh Āmad","Again I Wrote ""Morning,"" and Morning Came",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1386,no,NA,,,Appendix D
OPW_0029,در باغ بزرگ باران می‌بارید,Dar Bāgh-e Bozorg Bārān Mibārid,It Was Raining in the Great Garden,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1387,yes,2,چاپ دوم تا سال 1390,Second edition by 2011 (1390).,Appendix D
OPW_0030,موج های دریا یک بطری را به ساحل آوردند,Moj-hā-ye Daryā Yek Botri rā be Sāhel Āvardand,The Sea Waves Brought a Bottle to the Shore,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1388,no,NA,,,Appendix D
OPW_0031,دخترک، ماهی، تنهایی,"Dokhtarak, Māhi, Tanhāyi","The Little Girl, the Fish, and Loneliness",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0032,پسرک دریا را نگاه کرد و گفت:,Pesarak Daryā rā Negāh Kard va Goft,The Boy Looked at the Sea and Said,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0033,عمر هفت چوب کبریت کوتاه بود فقط یک لحظه بود,"Omr-e Haft Chub Kebrit Kutāh Bud, Faghat Yek Lahzeh Bud","The Life of Seven Matchsticks Was Short, Only a Moment Long",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0034,سبد حصیری و فرفره‌های رنگین,Sabad-e Hasiri va Ferfereh-hā-ye Rangin,The Wicker Basket and Colorful Pinwheels,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0035,سفر در شب,Safar dar Shab,Journey in the Night,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0036,ک‍ب‍وت‍ر سفید کنار آینه,Kabutar-e Sefid-e Kenār-e Āyeneh,The White Dove Beside the Mirror,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1389,no,NA,,,Appendix D
OPW_0037,مرا چشم آبی صدا می کنند,Marā Cheshm Ābi Sedā Mikonand,They Call Me Blue Eyes,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1390,no,NA,,,Appendix D
OPW_0038,پسرک و دوازده ماه سال,Pesarak va Davāzdah Māh-e Sāl,The Boy and the Twelve Months of the Year,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1390,yes,2,چاپ دوم تا سال 1395,Second edition by 2016 (1395).,Appendix D
OPW_0039,عروس و داماد در باران,Arus va Dāmād dar Bārān,Bride and Groom in the Rain,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1390,no,NA,,,Appendix D
OPW_0040,از کلید آبی‌رنگ گاهی صدای دریا را می شنید,Az Kelid-e Ābi-Rang Gāhi Sedā-ye Daryā rā Mishenid,From the Blue Key He Sometimes Heard the Sound of the Sea,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1391,no,NA,,,Appendix D
OPW_0041,پروانه روی بالش من به خواب رفته بود,Parvāneh Ru-ye Bālesh-e Man be Khāb Rafteh Bud,A Butterfly Had Fallen Asleep on My Pillow,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1392,yes,2,چاپ دوم تا سال 1392,Second edition by 2013 (1392).,Appendix D
OPW_0042,مزرعه‌ی گل‌های آفتابگردان,Mazra'eh-ye Golhā-ye Āftābgardān,The Sunflower Field,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1392,no,NA,,,Appendix D
OPW_0043,باران دیگر نمی‌بارید,Bārān Digar Nemibārid,The Rain Had Stopped Falling,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1393,no,NA,,,Appendix D
OPW_0044,سه فرشته با بال‌های طلایی و چشمان آبی رنگ,Se Fereshteh bā Bāl-hā-ye Talāyi va Cheshmān-e Ābi-Rang,Three Angels with Golden Wings and Blue Eyes,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1395,no,NA,,,Appendix D
OPW_0045,سفال,Sofāl,Pottery,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1395,no,NA,,,Appendix D
OPW_0046,پرواز,Parvāz,Flight,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1396,no,NA,,,Appendix D
OPW_0047,قاصدک در باد,Ghāsedak dar Bād,Dandelion in the Wind,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1396,no,NA,,,Appendix D
OPW_0048,کشتی سرگردان در مه دریا,Keshti-ye Sargardān dar Meh-e Daryā,The Wandering Ship in the Sea Fog,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,1396,yes,3,چاپ سوم تا سال 1397,Third edition by 2018 (1397).,Appendix D
OPW_0049,دور از خانه,Dur az Khāneh,Far from Home,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1369,yes,4,,,Appendix D
OPW_0050,همه‌‌‌ی گربه‌های من,Hameh-ye Gorbeh-hā-ye Man,All My Cats,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1395,no,NA,,,Appendix D
OPW_0051,سنجاب‌ها,Sanjāb-hā,The Squirrels,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1395,no,NA,,,Appendix D
OPW_0052,درخت قصه، قمری‌های قصه,"Derakht-e Ghesseh, Ghomri-hā-ye Ghesseh","The Story Tree, the Story Doves",ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1395,no,NA,,,Appendix D
OPW_0053,خبر بد. رویای روزی که ساحر بزرگ به دیدار خواهد آمد,Khabar-e Bad. Royā-ye Ruzi ke Sāher-e Bozorg be Didār Khāhad Āmad,Bad News: Dream of the Day the Great Magician Will Come to Visit,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1396,no,NA,,,Appendix D
OPW_0054,ق‍ص‍ه‌ی‌ م‍وش‍ی‌ خ‍ودن‍م‍ا و ش‍ت‍ر ب‍اص‍ف‍ا: ب‍راس‍اس‌ داس‍ت‍ان‍ی‌ از م‍ث‍ن‍وی‌ م‍ول‍وی‌,Ghesseh-ye Mushi-ye Khodnamā va Shotor-e Bāsafā: Bar Asās-e Dāstāni az Masnavi-ye Molavi,The Tale of the Vain Mouse and the Kind Camel: Based on a Story from Rumi's Masnavi,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1373,no,NA,,,Appendix D
OPW_0055,قصه گلهای قالی,Ghesseh-ye Golhā-ye Ghāli,The Story of the Carpet Flowers,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1395,yes,7,این کتاب درسال‌های 1395-1397 تجدید چاپ شده است.,This book was reprinted between 2016 and 2018 (1395 to 1397).,Appendix D
OPW_0056,یادداشت های کودکی,Yāddāsht-hā-ye Kudaki,Childhood Notes,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,1391,no,NA,,,Appendix D
OPW_0057,طلسم شهر تاریکی,Telesm-e Shahr-e Tāriki,The Spell of the City of Darkness,ai_literal_gloss,IA_0030,Reza Marzban,رضا مرزبان,1347,no,NA,,,Appendix D
OPW_0058,کوچه‌باغ‌های شهر خواب,Kucheh-Bāgh-hā-ye Shahr-e Khāb,The Garden Lanes of Dream City,ai_literal_gloss,IA_0030,Reza Marzban,رضا مرزبان,1352,no,NA,,,Appendix D
OPW_0059,گل بلور و خورشید,Gol-e Bolur va Khorshid,The Crystal Flower and the Sun,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,1355,yes,6,چاپ ششم تا سال 1366,Sixth edition by 1987 (1366).,Appendix D
OPW_0060,م‍ه‍م‍ان‍ه‍ای‌ ن‍اخ‍وان‍ده‌,Mehmān-hā-ye Nākhāndeh,Uninvited Guests,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,1348,yes,21,این کتاب در سالهای 1348-1398 تجدید چاپ شده است.,This book was reprinted between 1969 and 2019 (1348 to 1398).,Appendix D
OPW_0061,ع‍م‍و ن‍وروز,Amu Nowruz,Uncle Nowruz,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,1389,yes,5,چاپ پنجم تا سال 1395,Fifth edition by 2016 (1395).,Appendix D
OPW_0062,هرزه گیاه ماجراجو,Harzeh Giyāh-e Mājerāju,The Adventurous Weed,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1348,no,NA,,,Appendix D
OPW_0063,روباه حیله گر و راسوی عاقل,Rubāh-e Hilegar va Rāsu-ye Āghel,The Cunning Fox and the Wise Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1335,yes,3,,,Appendix D
OPW_0064,ن‍خ‍ودی‌ و ح‍اک‍م,Nokhodi va Hākem,Nokhodi and the Governor,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1349,no,NA,,,Appendix D
OPW_0065,م‍اج‍رای‌ م‍رد ه‍ی‍زم‌ش‍ک‍ن‌ و خ‍رس,Mājerā-ye Mard-e Hizom-Shekan va Khers,The Woodcutter and the Bear,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1353,no,NA,,,Appendix D
OPW_0066,م‍اج‍راه‍ای‌ راس‍و,Mājerāhā-ye Rāsu,The Adventures of the Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1353,no,NA,,,Appendix D
OPW_0067,راس‍وی‌ ش‍ج‍اع‌,Rāsu-ye Shojā',The Brave Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1353,no,NA,,,Appendix D
OPW_0068,ح‍اج‍ی‌ ف‍ی‍روز,Hāji Firuz,Haji Firuz,official_translation,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,1349,yes,2,,,Appendix D
OPW_0069,ماهی سیاه کوچولو,Māhi-ye Siyāh-e Kuchulu,The Little Black Fish,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,1346,yes,multiple,توسط انتشارات مختلف تجدید چاپ شده,Reprinted by various publishers.,Appendix D
OPW_0070,یک هلو و هزار هلو,Yek Holu va Hezār Holu,One Peach and a Thousand Peaches,ai_literal_gloss,IA_0032,Samad Behrangi,صمد بهرنگی,1348,yes,multiple,توسط انتشارات مختلف تجدید چاپ شده,Reprinted by various publishers.,Appendix D
OPW_0071,الدوز و کلاغ ها,Alduz va Kalāgh-hā,Alduz and the Crows,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,1348,yes,4,,,Appendix D
OPW_0072,الدوز و عروسک سخنگو,Alduz va Arusak-e Sokhangū,Alduz and the Talking Doll,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,1378,no,NA,,,Appendix D
OPW_0073,افسانه‌های آذربایجان,Afsāneh-hā-ye Āzarbāyjān,Tales of Azerbaijan,ai_literal_gloss,IA_0032,Samad Behrangi,صمد بهرنگی,1377,no,NA,,,Appendix D
OPW_0074,آ،ب و گندم,"Ā, b, va Gandom",Water and Wheat,ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,NA,NA,NA,,,Appendix D
OPW_0075,میهمانی مهتاب,Mehmāni-ye Mahtāb,Moonlight Feast,ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,1380,no,NA,,,Appendix D
OPW_0076,با هم، با شدن و بی‌شدن,"Bā Ham, Bā Shodan va Bi-Shodan","Together, Becoming and Unbecoming",ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,1357,no,NA,,,Appendix D
OPW_0077,قصۀ آقا کوزه,Ghesseh-ye Āghā Kuzeh,The Tale of Mr. Pitcher,ai_literal_gloss,IA_0004,Akbar Nemati,اکبر نعمتی,1352,no,NA,,,Appendix D
OPW_0078,سرگذشت چمنزار بزرگ,Sargozasht-e Chamanzār-e Bozorg,The Story of the Great Meadow,ai_literal_gloss,IA_0036,Shakur Lotfi,شکور لطفی,1365,yes,4,,,Appendix D
OPW_0079,این پایین خبری نیست,In Pāyin Khabari Nist,Nothing Is Happening Down Here,ai_literal_gloss,IA_0020,Mohammadrahim Okhovat,محمدرحیم اخوت,1355,no,NA,,,Appendix D
OPW_0080,سرگذشت کشور کوچک,Sargozasht-e Keshvar-e Kuchak,The Story of a Small Country,ai_literal_gloss,IA_0017,Manouchehr Atashi,منوچهر آتشی,1350,no,NA,,,Appendix D
OPW_0081,بقچه گلی,Boghcheh-ye Goli,The Flower Bundle,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1366,no,NA,,,Appendix D
OPW_0082,کوتی کوتوله نقشه‌ی خاله,"Kuti Kutuleh, Nagsheh-ye Khāleh",Kuti the Dwarf and Auntie's Plan,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1395,no,NA,,,Appendix D
OPW_0083,قصه‌های کوچک برای بچه‌های کوچک,Ghesseh-hā-ye Kuchak Barāye Bacheh-hā-ye Kuchak,Little Stories for Little Children,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1386,no,NA,,,Appendix D
OPW_0084,پرنده سخنگو براساس حکایتی از مثنوی مولوی,"Parandeh-ye Sokhangū, Bar Asās-e Hekāyati az Masnavi-ye Molavi",The Talking Bird: Based on a Tale from Rumi's Masnavi,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1386,no,NA,,,Appendix D
OPW_0085,م‍ج‍م‍وع‍ه‌ ب‍ه‍ت‍ری‍ن‌ اف‍س‍ان‍ه‌ه‍ا ب‍رای‌ ب‍ه‍ت‍ری‍ن‌ ب‍چ‍ه‌ه‍ا,Majmu'eh-ye Behtarin Afsāneh-hā Barāye Behtarin Bacheh-hā,The Best Fairy Tales for the Best Children,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1382,no,NA,,,Appendix D
OPW_0086,ک‍اش‌ ی‍ک‍ی‌ ق‍ص‍ه‌اش‌ را م‍ی‌گ‍ف‍ت‌!,Kāsh Yeki Ghesseh-ash rā Migoft!,If Only Someone Would Tell Their Story!,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1384,no,NA,,,Appendix D
OPW_0087,ق‍ص‍ه‌ه‍ای‌ ش‍ی‍ری‍ن‌ ه‍زار و ی‍ک‌ ش‍ب‌,Ghesseh-hā-ye Shirin-e Hezār va Yek Shab,Sweet Tales of One Thousand and One Nights,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1375,yes,12,چاپ دوازدهم تا سال 1388,Twelfth edition by 2009 (1388).,Appendix D
OPW_0088,ب‍زب‍زق‍ن‍دی‌ و م‍اج‍راه‍ای‌ ت‍ازه,Bozboz-e Ghandi va Mājerāhā-ye Tāzeh,Sugar-Goat Bozboz and New Adventures,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,5,چاپ پنجم تا سال 1391,Fifth edition by 2012 (1391).,Appendix D
OPW_0089,تخمه سیاه خوش شانس و ۴ قصه دیگر,Tokhmeh-ye Siyāh-e Khosh-Shāns va 4 Ghesseh-ye Digar,The Lucky Black Seed and 4 Other Stories,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1383,no,NA,,,Appendix D
OPW_0090,نخودی کتاب دوم :در دام مورچه ها,"Nokhodi, Ketāb-e Dovom: Dar Dām-e Murcheh-hā","Nokhodi, Book Two: Trapped by the Ants",ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,no,NA,,,Appendix D
OPW_0091,گ‍ل‍ک‌ چ‍ه‌ م‍ه‍رب‍ان‌ اس‍ت‌!,Golak Che Mehrabān Ast!,How Kind Golak Is!,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1368,no,NA,,,Appendix D
OPW_0092,س‍ف‍ر پ‍رخ‍طر,Safar-e Porkhatar,A Dangerous Journey,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,7,,,Appendix D
OPW_0093,م‍ورچ‍ه‌ ری‍زه‌ ق‍ص‍ه‌ م‍ی‌گ‍ف‍ت‌,Murcheh-Rizeh Ghesseh Migoft,Tiny Ant Told Stories,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1377,no,NA,,,Appendix D
OPW_0094,پ‍س‍ت‍ه‌ ده‍ان‌ ب‍س‍ت‍ه‌ و ۴ قصه دیگر,Pesteh Dahān-Basteh va 4 Ghesseh-ye Digar,Silent Pistachio and 4 Other Stories,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1375,yes,21,,,Appendix D
OPW_0095,ن‍خ‍ودی‌ در ق‍ص‍ر ح‍اک‍م‌,Nokhodi dar Ghasr-e Hākem,Nokhodi in the Governor's Palace,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,7,,,Appendix D
OPW_0096,ه‍وی‍ج‍ک‌ ت‍ن‍ب‍ل‍ی‌ ب‍ود و ق‍ص‍ه‌ه‍ای‌ دی‍گ‍ر,Havijak Tanbali Bud va Ghesseh-hā-ye Digar,Havijak Was Lazy and Other Stories,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1376,no,NA,,,Appendix D
OPW_0097,نخ‍ودی‌ ب‍ا ال‍ه‍ام‌ از ی‍ک‌ اف‍س‍ان‍ه‌ ق‍دی‍م‍ی,Nokhodi bā Elhām az Yek Afsāneh-ye Ghadimi,Nokhodi: Inspired by an Old Folktale,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1375,yes,6,,,Appendix D
OPW_0098,خ‍ال‍ه س‍وس‍ک‍ه‌ و آق‍ام‍وش‍ه‌,Khāleh Suskeh va Āghā Musheh,Aunt Cockroach and Mr. Mouse,official_translation,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1376,yes,6,,,Appendix D
OPW_0099,م‍اج‍رای‌ ی‍ک‌ ت‍ول‍د ع‍ج‍ی‍ب,Mājerā-ye Yek Tavallod-e Ajib,The Story of a Strange Birth,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,8,چاپ هشتم تا سال 1375,Eighth edition by 1996 (1375).,Appendix D
OPW_0100,ش‍ش‌ س‍رب‍از ک‍وچ‍ول‍و,Shesh Sarbāz-e Kuchulu,Six Little Soldiers,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,9,چاپ نهم تا سال 1377,Ninth edition by 1998 (1377).,Appendix D
OPW_0101,اف‍س‍ان‍ه‌ دی‍و و دخ‍تر,Afsāneh-ye Div va Dokhtar,The Tale of the Demon and the Girl,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1376,no,NA,,,Appendix D
OPW_0102,در دام‌ م‍ورچ‍ه‌ه‍ا,Dar Dām-e Murcheh-hā,Trapped by the Ants,ai_literal_gloss,IA_0037,Shokouh Ghasemnia,شکوه قاسم‌نیا,1374,yes,8,,,Appendix D
