id,title_original,title_fa,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,translator_id,translator_fa,translator_en,year_original,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
TRW_0011,The Ickabog,افسانه‌ی ایکاباگ,Afsāneh-ye Īkābāg,The Legend of the Ickabog,ai_literal_gloss,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0550,سیدعمادالدین خاتمی,Seyed Emadoddin Khatami,2020,1399,yes,multiple,,,Appendix C
TRW_0012,Fantastic Beasts: the Crimes of Grindelwald,جانوران شگفت‌انگیز: جنایات گریندلوالد: فیلمنامه‌ی اصلی,Jānevarān-e Shegeft-Angiz: Jenāyāt-e Grindelwald: Filmnāmeh-ye Asli,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0625,ویدا اسلامیه,Vida Eslamiyeh,2018,1397,no,NA,,,Appendix C
TRW_0013,Comic Relief: Fantastic Beasts and Where to Find Them‬,جانوران شگفت‌انگیز و آنها را کجا پیدا کنیم,Jānevarān-e Shegeft-Angiz va Ānhā rā Kojā Peydā Konim,Fantastic Beasts and Where to Find Them,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0446,نیلا والا,Nila Vala,2001,1380,yes,multiple,,,Appendix C
TRW_0014,Fantastic Beasts and Where to Find Them,جانوران شگفت‌انگیز و زیستگاه آن‌ها؛ نیوت اسکمندر,Jānevarān-e Shegeft-Angiz va Zistgāh-e Ānhā; Newt Eskamandar,Fantastic Beasts and Their Habitats,ai_literal_gloss,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0625,ویدا اسلامیه,Vida Eslamiyeh,2001,1380,yes,5,,,Appendix C
TRW_0015,The Casual Vacancy‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,خلاء ناگهانی,Khala-e Nāgehāni,The Casual Vacancy,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0363,مهرزاد جعفری,Mehrzad Jafari,2012,1392,yes,multiple,,,Appendix C
TRW_0016,Hogwarts: An Incomplete and Unreliable Guide,راهنمای ناقص و نامطمئن هاگوارتز,Rāhnamā-ye Nāqes va Nāmotma'en-e Hāgvārtz,Hogwarts: An Incomplete and Unreliable Guide,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0050,امیرحسین رستمی,Amirhossein Rostami,2016,1395,yes,multiple,,,Appendix C
TRW_0017,Quidditch Through the Ages,کوییدریچ در گذر زمان,Kuyidrich dar Gozar-e Zamān,Quidditch Through the Ages,official_translation,FA_0127,J. K. Rowling,جی. کی. رولینگ,TR_0609,سودابه رودباری,Soudabeh Roudbari,2001,1380,yes,multiple,,,Appendix C
TRW_0018,Black Wolves,گرگ‌های سیاه,Gorg-hā-ye Siyāh,Black Wolves,official_translation,FA_0168,Kate Elliott,کیت الیوت,TR_0211,حانیه مالمیر,Haniyeh Malmir,2014,1397,no,NA,,,Appendix C
TRW_0019,Grimm Tales for Young and Old,داستان‌های گریم برای پیر و جوان,Dāstān-hā-ye Grimm barā-ye Pir va Javān,Grimm Tales for Young and Old,official_translation,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0603,سمیه گنجی,Somayeh Ganji,2012,1398,no,NA,,,Appendix C
TRW_0020,The Firework-Maker's Daughter, دختر مرد آتش‌باز,Dokhtar-e Mard-e Ātashbāz,The Firework-Maker's Daughter,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0379,محمد قصاع,Mohammad Ghassa,1995,1384,no,NA,,,Appendix C
TRW_0021,Once Upon a Time in the North,روزی روزگاری در شمال,Ruzi Ruzegāri dar Shomāl,Once Upon a Time in the North,official_translation,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0166,فرزاد فربد,Farzad Farbod,2008,1390,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0022,"Clockwork, or all wound up‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬",ساعت‌ساز,Sā'at-Sāz,Clockmaker,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0379,محمد قصاع,Mohammad Ghassa,1996,1381,yes,multiple,,,Appendix C
TRW_0023,La Belle Sauvage,کتاب غبار: وحشی زیبا,Ketāb-e Ghobār: Vahshi-ye Zibā,The Book of Dust: The Beautiful Savage,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0157,فرمهر امیردوست,Farmehr Amirdoust,2017,1397,no,NA,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0024,Count Karlstein,کنت کارل اشتین یا اهریمن شکارچی,Kont Kārl Eshtein yā Ahriman-e Shekārchi,"Count Karlstein, or The Demon Huntsman",official_translation,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0166,فرزاد فربد,Farzad Farbod,1982,1382,yes,multiple,,,Appendix C
TRW_0025,The Amber Spyglass,لیرا و تلسکوپ کهربایی,Lirā va Teleskop-e Kahrobāyi,Lyra and the Amber Spyglass,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0137,اسماعيل حسينی,Esmaeil Hosseini,2000,1397,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0026,The Subtle Knife,لیرا و خنجر اسرارآمیز,Lirā va Khanjar-e Asrārāmiz,Lyra and the Mysterious Dagger,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0163,ف‍رخ‌ ب‍اف‍ن‍ده‌,Farrokh Bafandeh,1997,1384,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0027,Northern Lights,لیرا و قطب‌نمای جادویی,Lirā va Qotbnamā-ye Jāduyi,Lyra and the Magic Compass,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0163,ف‍رخ‌ ب‍اف‍ن‍ده‌,Farrokh Bafandeh,1995,1384,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0028,The Scarecrow and His Servant,مترسک و خدمتکارش,Matarsak va Khedmatkārash,The Scarecrow and His Servant,official_translation,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0166,فرزاد فربد,Farzad Farbod,2004,1391,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0029,I Was a Rat! or the Scarlet Slippers,من موش بودم,Man Mush Budam,I Was a Rat!,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0587,شهره نور‌صالحی,Shohreh Noursalehi,1999,1386,yes,multiple,,,Appendix C
TRW_0030,"The Subtle Knife, Northern Lights",نیروی اهریمنی‌اش,Niru-ye Ahrimaniyash,His Dark Force,ai_literal_gloss,FA_0249,Philip Pullman,فیلیپ پولمن,TR_0166,فرزاد فربد,Farzad Farbod,1997-1995,1384-1385,yes,multiple,سری: کتاب غبار,Series: The Book of Dust,Appendix C
TRW_0031,Matchless: a Christmas Story,پسرک بی‌کبریت,Pesarak-e Bikabrit,The Matchless Boy / The Boy Without Matches,ai_literal_gloss,FA_0110,Gregory Maguire,گرگوری مگوایر,TR_0251,کامروا ابراهیمی,Kamrava Ebrahimi,2009,1398,no,NA,,,Appendix C
TRW_0032,Assassin's Apprentice: the Illustrated Edition,کارآموز آدم‌کشی,Kārāmuz-e Ādamkoshi,Assassin's Apprentice,official_translation,FA_0276,Robin Hobb,رابین هاب,TR_0526,سلمان ثابت,Salman Sabet,2019,1398,no,NA,,,Appendix C
TRW_0033,The Fantastic Light,نور حیرت‌انگیز,Nur-e Heyratangiz,The Fantastic Light,official_translation,FA_0313,Terry Pratchett,تری پرچت,TR_0064,آرزو احمی,Arezou Ahami,1986,1392,yes,multiple,,,Appendix C
TRW_0034,Mort: a Novel of Discworld,مورت,Murt,Mort,official_translation,FA_0313,Terry Pratchett,تری پرچت,TR_0380,محمد حسینی‌مقدم,Mohammad Hosseini-Moghadam,1987,1394,yes,multiple,,,Appendix C
TRW_0035,The Colour of Magic,رنگ جادو,Rang-e Jādu,The Colour of Magic,official_translation,FA_0313,Terry Pratchett,تری پرچت,TR_0064,آرزو احمی,Arezou Ahami,1983,1392,yes,multiple,,,Appendix C
TRW_0036,Moving Image or Slide,خواهران سرنوشت,Khāharān-e Sarnevesht,Sisters of Fate,ai_literal_gloss,FA_0313,Terry Pratchett,تری پرچت,TR_0380,محمد حسینی‌مقدم,Mohammad Hosseini-Moghadam,1997,1393,no,NA,,,Appendix C
TRW_0037,Sourcery,جادوی مرجع,Jādu-ye Marja',Source Magic / Reference Magic,ai_literal_gloss,FA_0313,Terry Pratchett,تری پرچت,TR_0380,محمد حسینی‌مقدم,Mohammad Hosseini-Moghadam,1989,1394,no,NA,,,Appendix C
TRW_0038,Pyramids‬‬,اهرام,Ahrām,Pyramids,official_translation,FA_0313,Terry Pratchett,تری پرچت,TR_0380,محمد حسینی‌مقدم,Mohammad Hosseini-Moghadam,2013,1395,no,NA,,,Appendix C
TRW_0039,Equal Rites‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,آیینه‌ای برابر,Āyineh-i Barābar,An Equal Mirror,ai_literal_gloss,FA_0313,Terry Pratchett,تری پرچت,TR_0064,آرزو احمی,Arezou Ahami,1987,1392,yes,multiple,,,Appendix C
TRW_0040,The Famished Road‬,جاده گرسنه,Jādeh-ye Gorosneh,The Famished Road,official_translation,FA_0021,Ben Okri,بن اوکری,TR_0388,م‍ح‍م‍دع‍ل‍ی‌ آذرپ‍ی‍را,Mohammadali Azarpira,1991,1378,yes,multiple,,,Appendix C
TRW_0041,Akata Witch,آکاتا، جادوگر سفید ۱,"Ākātā, Jādugar-e Sefid 1","Akata, the White Witch 1",ai_literal_gloss,FA_0230,Nnedi Okorafor,ندی اوکورافور,TR_0048,امیراحمد کامیار,Amirahmad Kamyar,2011,1398,no,NA,,,Appendix C
TRW_0042,Binti,فرزند نامیب,Farzand-e Nāmib,Child of Namib,ai_literal_gloss,FA_0230,Nnedi Okorafor,ندی اوکورافور,TR_0048,امیراحمد کامیار,Amirahmad Kamyar,2016,1399,yes,multiple,بینتی‏ 1‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,Binti 1.,Appendix C
TRW_0043,‬Binti: Home‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,بازگشت به خانه,Bāzgasht be Khāneh,Return Home,ai_literal_gloss,FA_0230,Nnedi Okorafor,ندی اوکورافور,TR_0048,امیراحمد کامیار,Amirahmad Kamyar,2017,1399,yes,2,بینتی‏ 2‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,Binti 2.,Appendix C
TRW_0044,The Night Masquerade,قابدار شب,Ghābdār-e Shab,Framed by Night,ai_literal_gloss,FA_0230,Nnedi Okorafor,ندی اوکورافور,TR_0048,امیراحمد کامیار,Amirahmad Kamyar,2018,1399,no,NA,بینتی‏ 3‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,Binti 3.,Appendix C
TRW_0045,The Lie Tree‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,درخت دروغ,Derakht-e Dorugh,The Lie Tree,official_translation,FA_0091,Frances Hardinge,فرانسیس هاردینگ,TR_0131,الناز ذهبی,Elnaz Zahabi,2016,1396,yes,multiple,,,Appendix C
TRW_0046,A Face Like Glass,سرزمین هزار دالان,Sarzamin-e Hezār Dālān,Land of a Thousand Corridors,ai_literal_gloss,FA_0091,Frances Hardinge,فرانسیس هاردینگ,TR_0083,آزاده کامیار,Azadeh Kamyar,2012,1399,yes,multiple,,,Appendix C
TRW_0047,Deeplight‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,قلب مدفون,Ghalb-e Madfun,Buried Heart,ai_literal_gloss,FA_0091,Frances Hardinge,فرانسیس هاردینگ,TR_0069,آرزو مقدس,Arezou Moghaddas,2019,1399,no,NA,,,Appendix C
TRW_0048,Midnight's Children,بچه‌های نیمه شب,Bacheh-hā-ye Nimeh Shab,Midnight's Children,official_translation,FA_0282,Salman Rushdie,سلمان رشدی,TR_0355,م‍ه‍دی‌ س‍ح‍اب‍ی,Mehdi Sahabi,1981,1363,no,NA,,,Appendix C
TRW_0049,Shame,شرم,Sharm,Shame,official_translation,FA_0282,Salman Rushdie,سلمان رشدی,TR_0355,م‍ه‍دی‌ س‍ح‍اب‍ی,Mehdi Sahabi,1983,1364,no,NA,,,Appendix C
TRW_0050,The Satanic Verses,آیه‌های شیطانی,Āyeh-hā-ye Sheytāni,The Satanic Verses,official_translation,FA_0282,Salman Rushdie,سلمان رشدی,TR_0503,روشنک داریوش,Roshanak Daryoush,1988,؟؟۱۳,no,NA,,,Appendix C
TRW_0051,The Prestige,پرستیژ,Prestij,The Prestige,official_translation,FA_0053,Christopher Priest,کریستوفر پریست,TR_0487,راضیه خوشنود,Razieh Khoshnoud,1995,1398,yes,multiple,,,Appendix C
TRW_0052,Three Monsters,سه غول,Se Ghul,Three Giants,ai_literal_gloss,FA_0065,David McKee,دیوید مکی,TR_0304,مهشید مجتهدزاده,Mahshid Mojtahedzadeh,2005,1391,no,NA,,,Appendix C
TRW_0053,"Not now, Bernard",حالا نه، بچه!,"Hālā Na, Bacheh!","Not Now, Kid!",ai_literal_gloss,FA_0065,David McKee,دیوید مکی,TR_0613,طاهره آدینه‌پور,Tahereh Adinehpour,1980,1394,yes,multiple,,,Appendix C
TRW_0054,On Stranger Tides,سوار بر امواج ناشناخته,Savār bar Amvāj-e Nāshenākhteh,Riding Unknown Waves,ai_literal_gloss,FA_0317,Tim Powers,تیم پاورز,TR_0129,الهام میرمحمدی,Elham Mirmohammadi,1987,1398,no,NA,,,Appendix C
TRW_0055,Bluebeard,ریش آبی,Rish Ābi,Bluebeard,official_translation,FA_0009,Angela Carter,آنجلا کارتر,TR_0031,علی منصوری,Ali Mansouri,1979,1393,no,NA,,,Appendix C
TRW_0056,Kindred,نیاکان,Niyākān,Ancestors,ai_literal_gloss,FA_0234,Octavia Butler,اکتاویا باتلر,TR_0146,فرانک وثوقی,Faranak Vosoughi,1979,1387,yes,multiple,,,Appendix C
TRW_0057,The People Could Fly: American Black Folktales,انسان‌هایی که می‌توانستند پرواز کنند: داستان‌های عامیانه سیاهان آمریکایی,Ensān-hāyi ke Mitavānestand Parvāz Konand: Dāstān-hā-ye Āmiyāneh-ye Siyāhān-e Āmrikāyi,People Who Could Fly: American Black Folktales,official_translation,FA_0325,Virginia Hamilton,ویرجینیا همیلتون,TR_0614,طاهره نجیب‌منش,Tahereh Najibmanesh,1985,1378,yes,multiple,,,Appendix C
TRW_0058,The Forgotten Beasts of Eld,جانوران از یادرفته‌ی الد,Jānvarān-e az Yād Rafteh-ye Eld,The Forgotten Beasts of Eld,official_translation,FA_0241,Patricia McKillip,پاتریشیا مک‌کلیپ,TR_0324,مریم عزیزی,Maryam Azizi,1996,1399,no,NA,,,Appendix C
TRW_0059,Riddle-Master: the Complete Trilogy,چنگ‌نواز سوار بر باد,Chang-navāz-e Savār bar Bād,The Harpist Riding the Wind,ai_literal_gloss,FA_0241,Patricia McKillip,پاتریشیا مک‌کلیپ,TR_0067,آرزو محمودیان,Arezou Mahmoudian,1999,1397,no,NA,,,Appendix C
TRW_0060,The Riddle-Master of Hed,معماگری از سرزمین هد,Mo'ammāgari az Sarzamin-e Hed,A Riddler from the Land of Hed,ai_literal_gloss,FA_0241,Patricia McKillip,پاتریشیا مک‌کلیپ,TR_0067,آرزو محمودیان,Arezou Mahmoudian,1976,1396,no,NA,,,Appendix C
TRW_0061,Heir of Sea and Fire,وارث آتش و دریا,Vāres-e Ātash va Daryā,Heir of Fire and Sea,ai_literal_gloss,FA_0241,Patricia McKillip,پاتریشیا مک‌کلیپ,TR_0067,آرزو محمودیان,Arezou Mahmoudian,2015,1396,no,NA,,,Appendix C
TRW_0062,Interview with the Vampire,مصاحبه با خون‌آشام,Mosāhebeh bā Khun-Āshām,Interview with the Vampire,official_translation,FA_0012,Anne Rice,آن رایس,TR_0312,م‍ج‍ی‍د م‍ی‍رب‍زرگ‍ی,Majid Mirbozorgi,1976,1387,yes,multiple,,,Appendix C
TRW_0063,The Gypsy Morph‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,کودک جادو,Kudak-e Jādu,Magic Child,ai_literal_gloss,FA_0311,Terry Brooks,تری بروکس,TR_0106,بهرنگ حبعلی موجانی,Behrang Habaali-e Moujani,2008,1398,no,NA,,,Appendix C
TRW_0064,Armageddon's children,فرزندان شانارا,Farzandān-e Shānārā,Children of Shannara,ai_literal_gloss,FA_0311,Terry Brooks,تری بروکس,TR_0106,بهرنگ حبعلی موجانی,Behrang Habaali-e Moujani,2006,1397,no,NA,,,Appendix C
TRW_0065,The Elves of Cintra‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,الف‌های سینترا,Elf-hā-ye Cintrā,The Elves of Cintra,official_translation,FA_0311,Terry Brooks,تری بروکس,TR_0106,بهرنگ حبعلی موجانی,Behrang Habaali-e Moujani,2007,1398,yes,2,,,Appendix C
TRW_0066,The black Elfstone,الف‌استون سیاه,Elfstone-e Siyāh,The Black Elfstone,official_translation,FA_0311,Terry Brooks,تری بروکس,TR_0296,مهناز مهری,Mahnaz Mehri,2017,1399,no,NA,,,Appendix C
TRW_0067,Cosmicomics,کمدی‌های کیهانی,Komedi-hā-ye Keyhāni,Cosmicomics / Cosmic Comedies,official_translation,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0370,م‍ی‍لاد زک‍ری‍ا,Milad Zakaria,1965,1383,yes,multiple,,,Appendix C
TRW_0068,The Nonexistent Knight,شوالیه ناموجود,Shovāliyeh-ye Nāmowjud,The Nonexistent Knight,official_translation,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0474,پرویز شهدی,Parviz Shahdi,1959,1381,yes,5,,,Appendix C
TRW_0069,Fiabe per i piu Piccini,نخودی و گاو نر و چند افسانه‌ی دیگر برای کوچولوها,Nokhodi va Gāv-e Nar va Chand Afsāneh-ye Digar barāye Kuchulu-hā,Chickpea Boy and the Bull and Several Other Tales for Little Children,ai_literal_gloss,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0307,محیا بیات,Mahya Bayat,2018,1399,no,NA,,,Appendix C
TRW_0070,Italian Folktales,افسانه‌های ایتالیایی,Afsāneh-hā-ye Itāliyāyi,Italian Folktales,official_translation,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0404,م‍ح‍س‍ن‌ اب‍راه‍ی‍م‌,Mohsen Ebrahim,1956,1378,no,NA,,,Appendix C
TRW_0071,Ti con Zero‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬‬,تی صفر,Ti Sefr,t Zero,official_translation,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0370,م‍ی‍لاد زک‍ری‍ا,Milad Zakaria,1967,1386,yes,2,,,Appendix C
TRW_0072,Fiabe da far Paura,دست اسکلت و چند افسانه‌ی ترسناک دیگر,Dast-e Eskelet va Chand Afsāneh-ye Tarsnāk-e Digar,The Skeleton Hand and Several Other Scary Tales,ai_literal_gloss,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0307,محیا بیات,Mahya Bayat,2013,1399,no,NA,,,Appendix C
TRW_0073,The Distance of the Moon,دوری ماه,Duri-ye Māh,The Distance of the Moon,official_translation,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0559,شادی سلطان‌زاده,Shadi Soltanzadeh,1965,1399,no,NA,,,Appendix C
TRW_0074,Fiabe un Poda Piangere,دیو و دلبر و چند افسانه‌ی گریه‌دار دیگر,Div va Delbar va Chand Afsāneh-ye Geryeh-Dār-e Digar,The Ogre and the Beauty and Several Other Tearful Tales,ai_literal_gloss,FA_0126,Italo Calvino,ایتالو ک‍ال‍وی‍ن‍و,TR_0307,محیا بیات,Mahya Bayat,2013,1399,no,NA,,,Appendix C
TRW_0075,The Lord of the Rings,فرمانروای حلقه‌ها,Farmānravā-ye Halgheh-hā,Lord of the Rings / Ruler of the Rings,ai_literal_gloss,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0490,رض‍ا ع‍ل‍ی‍زاده,Reza Alizadeh,1954,1381,yes,6,ترجمه و چاپ متعدد,Multiple translations and editions.,Appendix C
TRW_0076,Unfinished Tales of Numenor and Middle-Earth,قصه‌های ناتمام,Ghesseh-hā-ye Nātamām,Unfinished Tales,ai_literal_gloss,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0490,رض‍ا ع‍ل‍ی‍زاده,Reza Alizadeh,1980,1392,yes,2,,,Appendix C
TRW_0077,Narn i Chin Hurin: the Tale of the Children of Hurin,بچه‌های هورین,Bacheh-hā-ye Hurin,The Children of Húrin,ai_literal_gloss,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0150,فرهاد سیدلو,Farhad Seyedlou,2007,1386,no,NA,,,Appendix C
TRW_0078,The Fellowship of the Ring: Being the First Part the Lord of the Rings‬,خداوندگار حلقه‌ها,Khodāvandgār-e Halgheh-hā,Lord of the Rings,ai_literal_gloss,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0611,ت‍ب‍س‍م‌ آت‍ش‍ی‍ن‌ج‍ان,Tabassom Atashinjan,1954,1381,yes,multiple,,,Appendix C
TRW_0079,"Tree and Leaf, Smith of Wootton Major: The Homecoming of Beornoth Beorthhelm's Son",درخت و برگ,Derakht va Barg,Tree and Leaf,official_translation,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0412,مراد فرهادپور,Morad Farhadpour,1953,1377,yes,multiple,,,Appendix C
TRW_0080,Roverandom,راورندوم,Rāverandom,Roverandom,official_translation,FA_0129,J. R. R. Tolkien,جی. آر. آر. تولکین,TR_0342,مسعود ملک‌یاری,Masoud Malekyari,1998,1395,yes,multiple,,,Appendix C
