id,work_type,work_id,title_original,title_fa,title_romanized,title_gloss_en,title_gloss_type,author_id,author_en,author_fa,translator_id,translator_en,translator_fa,year_original,year_persian,reprint_status,reprint_number,notes_fa,notes_en,source_appendix
IFMD_0019,original,OPW_0019,ش‍ب‌ ی‍ل‍دا: ق‍ص‍ه‌ی‌ ب‍ل‍ن‍دت‍ری‍ن‌ ش‍ب‌ س‍ال,ش‍ب‌ ی‍ل‍دا: ق‍ص‍ه‌ی‌ ب‍ل‍ن‍دت‍ری‍ن‌ ش‍ب‌ س‍ال,Shab-e Yaldā: Ghesseh-ye Bolandtarin Shab-e Sāl,Yalda Night: The Story of the Longest Night of the Year,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1376,no,NA,,,Appendix D
IFMD_0020,original,OPW_0020,اسب و سیب و بهار,اسب و سیب و بهار,Asb va Sib va Bahār,"Horse, Apple, and Spring",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1380,yes,2,,,Appendix D
IFMD_0021,original,OPW_0021,در ب‍اغ‍چ‍ه‌ ع‍روس‌ و دام‍اد روی‍ی‍ده‌ ب‍ود,در ب‍اغ‍چ‍ه‌ ع‍روس‌ و دام‍اد روی‍ی‍ده‌ ب‍ود,Dar Bāghcheh Arus va Dāmād Royideh Bud,"In the Garden, a Bride and Groom Had Grown",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1382,no,NA,,,Appendix D
IFMD_0022,original,OPW_0022,ب‍اران‌,ب‍اران‌,Bārān,Rain,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1384,no,NA,,,Appendix D
IFMD_0023,original,OPW_0023,همۀ آن قایق‌های کاغذی,همۀ آن قایق‌های کاغذی,Hameh-ye Ān Ghāyegh-hā-ye Kāghazi,All Those Paper Boats,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1384,no,NA,,,Appendix D
IFMD_0024,original,OPW_0024,روزی‌ ک‍ه‌ م‍ه‌ ب‍ی‌ پ‍ای‍ان‌ ب‍ود,روزی‌ ک‍ه‌ م‍ه‌ ب‍ی‌ پ‍ای‍ان‌ ب‍ود,Ruzi ke Meh-e Bi-Pāyān Bud,The Day the Fog Was Endless,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1384,no,NA,,,Appendix D
IFMD_0025,original,OPW_0025,ب‍رف‌ ه‍ف‍ت‌ گ‍ل‌ ب‍ن‍ف‍ش‍ه‌ را پ‍وش‍ان‍ده‌ ب‍ود,ب‍رف‌ ه‍ف‍ت‌ گ‍ل‌ ب‍ن‍ف‍ش‍ه‌ را پ‍وش‍ان‍ده‌ ب‍ود,Barf Haft Gol-e Banafsheh rā Pushānde Bud,Snow Had Covered Seven Violet Flowers,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1384,no,NA,,,Appendix D
IFMD_0026,original,OPW_0026,ن‍ش‍ان‍ی‌,ن‍ش‍ان‍ی‌,Neshāni,The Address,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1384,no,NA,,,Appendix D
IFMD_0027,original,OPW_0027,پ‍س‍رک‌ ت‍ن‍ه‍ا روی‌ ب‍رف,پ‍س‍رک‌ ت‍ن‍ه‍ا روی‌ ب‍رف,Pesarak-e Tanhā Ru-ye Barf,The Lonely Boy on the Snow,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1385,no,NA,,,Appendix D
IFMD_0028,original,OPW_0028,بازهم نوشتم صبح، صبح آمد,بازهم نوشتم صبح، صبح آمد,"Bāz Ham Neveshtam Sobh, Sobh Āmad","Again I Wrote ""Morning,"" and Morning Came",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1386,no,NA,,,Appendix D
IFMD_0029,original,OPW_0029,در باغ بزرگ باران می‌بارید,در باغ بزرگ باران می‌بارید,Dar Bāgh-e Bozorg Bārān Mibārid,It Was Raining in the Great Garden,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1387,yes,2,چاپ دوم تا سال 1390,Second edition by 2011 (1390).,Appendix D
IFMD_0030,original,OPW_0030,موج های دریا یک بطری را به ساحل آوردند,موج های دریا یک بطری را به ساحل آوردند,Moj-hā-ye Daryā Yek Botri rā be Sāhel Āvardand,The Sea Waves Brought a Bottle to the Shore,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1388,no,NA,,,Appendix D
IFMD_0031,original,OPW_0031,دخترک، ماهی، تنهایی,دخترک، ماهی، تنهایی,"Dokhtarak, Māhi, Tanhāyi","The Little Girl, the Fish, and Loneliness",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0032,original,OPW_0032,پسرک دریا را نگاه کرد و گفت:,پسرک دریا را نگاه کرد و گفت:,Pesarak Daryā rā Negāh Kard va Goft,The Boy Looked at the Sea and Said,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0033,original,OPW_0033,عمر هفت چوب کبریت کوتاه بود فقط یک لحظه بود,عمر هفت چوب کبریت کوتاه بود فقط یک لحظه بود,"Omr-e Haft Chub Kebrit Kutāh Bud, Faghat Yek Lahzeh Bud","The Life of Seven Matchsticks Was Short, Only a Moment Long",ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0034,original,OPW_0034,سبد حصیری و فرفره‌های رنگین,سبد حصیری و فرفره‌های رنگین,Sabad-e Hasiri va Ferfereh-hā-ye Rangin,The Wicker Basket and Colorful Pinwheels,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0035,original,OPW_0035,سفر در شب,سفر در شب,Safar dar Shab,Journey in the Night,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0036,original,OPW_0036,ک‍ب‍وت‍ر سفید کنار آینه,ک‍ب‍وت‍ر سفید کنار آینه,Kabutar-e Sefid-e Kenār-e Āyeneh,The White Dove Beside the Mirror,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1389,no,NA,,,Appendix D
IFMD_0037,original,OPW_0037,مرا چشم آبی صدا می کنند,مرا چشم آبی صدا می کنند,Marā Cheshm Ābi Sedā Mikonand,They Call Me Blue Eyes,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1390,no,NA,,,Appendix D
IFMD_0038,original,OPW_0038,پسرک و دوازده ماه سال,پسرک و دوازده ماه سال,Pesarak va Davāzdah Māh-e Sāl,The Boy and the Twelve Months of the Year,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1390,yes,2,چاپ دوم تا سال 1395,Second edition by 2016 (1395).,Appendix D
IFMD_0039,original,OPW_0039,عروس و داماد در باران,عروس و داماد در باران,Arus va Dāmād dar Bārān,Bride and Groom in the Rain,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1390,no,NA,,,Appendix D
IFMD_0040,original,OPW_0040,از کلید آبی‌رنگ گاهی صدای دریا را می شنید,از کلید آبی‌رنگ گاهی صدای دریا را می شنید,Az Kelid-e Ābi-Rang Gāhi Sedā-ye Daryā rā Mishenid,From the Blue Key He Sometimes Heard the Sound of the Sea,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1391,no,NA,,,Appendix D
IFMD_0041,original,OPW_0041,پروانه روی بالش من به خواب رفته بود,پروانه روی بالش من به خواب رفته بود,Parvāneh Ru-ye Bālesh-e Man be Khāb Rafteh Bud,A Butterfly Had Fallen Asleep on My Pillow,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1392,yes,2,چاپ دوم تا سال 1392,Second edition by 2013 (1392).,Appendix D
IFMD_0042,original,OPW_0042,مزرعه‌ی گل‌های آفتابگردان,مزرعه‌ی گل‌های آفتابگردان,Mazra'eh-ye Golhā-ye Āftābgardān,The Sunflower Field,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1392,no,NA,,,Appendix D
IFMD_0043,original,OPW_0043,باران دیگر نمی‌بارید,باران دیگر نمی‌بارید,Bārān Digar Nemibārid,The Rain Had Stopped Falling,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1393,no,NA,,,Appendix D
IFMD_0044,original,OPW_0044,سه فرشته با بال‌های طلایی و چشمان آبی رنگ,سه فرشته با بال‌های طلایی و چشمان آبی رنگ,Se Fereshteh bā Bāl-hā-ye Talāyi va Cheshmān-e Ābi-Rang,Three Angels with Golden Wings and Blue Eyes,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1395,no,NA,,,Appendix D
IFMD_0045,original,OPW_0045,سفال,سفال,Sofāl,Pottery,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1395,no,NA,,,Appendix D
IFMD_0046,original,OPW_0046,پرواز,پرواز,Parvāz,Flight,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1396,no,NA,,,Appendix D
IFMD_0047,original,OPW_0047,قاصدک در باد,قاصدک در باد,Ghāsedak dar Bād,Dandelion in the Wind,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1396,no,NA,,,Appendix D
IFMD_0048,original,OPW_0048,کشتی سرگردان در مه دریا,کشتی سرگردان در مه دریا,Keshti-ye Sargardān dar Meh-e Daryā,The Wandering Ship in the Sea Fog,ai_literal_gloss,IA_0002,Ahmadreza Ahmadi,احمدرضا احمدی,NA,NA,NA,NA,1396,yes,3,چاپ سوم تا سال 1397,Third edition by 2018 (1397).,Appendix D
IFMD_0049,original,OPW_0049,دور از خانه,دور از خانه,Dur az Khāneh,Far from Home,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1369,yes,4,,,Appendix D
IFMD_0050,original,OPW_0050,همه‌‌‌ی گربه‌های من,همه‌‌‌ی گربه‌های من,Hameh-ye Gorbeh-hā-ye Man,All My Cats,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1395,no,NA,,,Appendix D
IFMD_0051,original,OPW_0051,سنجاب‌ها,سنجاب‌ها,Sanjāb-hā,The Squirrels,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1395,no,NA,,,Appendix D
IFMD_0052,original,OPW_0052,درخت قصه، قمری‌های قصه,درخت قصه، قمری‌های قصه,"Derakht-e Ghesseh, Ghomri-hā-ye Ghesseh","The Story Tree, the Story Doves",ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1395,no,NA,,,Appendix D
IFMD_0053,original,OPW_0053,خبر بد. رویای روزی که ساحر بزرگ به دیدار خواهد آمد,خبر بد. رویای روزی که ساحر بزرگ به دیدار خواهد آمد,Khabar-e Bad. Royā-ye Ruzi ke Sāher-e Bozorg be Didār Khāhad Āmad,Bad News: Dream of the Day the Great Magician Will Come to Visit,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1396,no,NA,,,Appendix D
IFMD_0054,original,OPW_0054,ق‍ص‍ه‌ی‌ م‍وش‍ی‌ خ‍ودن‍م‍ا و ش‍ت‍ر ب‍اص‍ف‍ا: ب‍راس‍اس‌ داس‍ت‍ان‍ی‌ از م‍ث‍ن‍وی‌ م‍ول‍وی‌,ق‍ص‍ه‌ی‌ م‍وش‍ی‌ خ‍ودن‍م‍ا و ش‍ت‍ر ب‍اص‍ف‍ا: ب‍راس‍اس‌ داس‍ت‍ان‍ی‌ از م‍ث‍ن‍وی‌ م‍ول‍وی‌,Ghesseh-ye Mushi-ye Khodnamā va Shotor-e Bāsafā: Bar Asās-e Dāstāni az Masnavi-ye Molavi,The Tale of the Vain Mouse and the Kind Camel: Based on a Story from Rumi's Masnavi,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1373,no,NA,,,Appendix D
IFMD_0055,original,OPW_0055,قصه گلهای قالی,قصه گلهای قالی,Ghesseh-ye Golhā-ye Ghāli,The Story of the Carpet Flowers,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1395,yes,7,این کتاب درسال‌های 1395-1397 تجدید چاپ شده است.,This book was reprinted between 2016 and 2018 (1395 to 1397).,Appendix D
IFMD_0056,original,OPW_0056,یادداشت های کودکی,یادداشت های کودکی,Yāddāsht-hā-ye Kudaki,Childhood Notes,ai_literal_gloss,IA_0027,Nader Ebrahimi,نادر ابراهیمی,NA,NA,NA,NA,1391,no,NA,,,Appendix D
IFMD_0057,original,OPW_0057,طلسم شهر تاریکی,طلسم شهر تاریکی,Telesm-e Shahr-e Tāriki,The Spell of the City of Darkness,ai_literal_gloss,IA_0030,Reza Marzban,رضا مرزبان,NA,NA,NA,NA,1347,no,NA,,,Appendix D
IFMD_0058,original,OPW_0058,کوچه‌باغ‌های شهر خواب,کوچه‌باغ‌های شهر خواب,Kucheh-Bāgh-hā-ye Shahr-e Khāb,The Garden Lanes of Dream City,ai_literal_gloss,IA_0030,Reza Marzban,رضا مرزبان,NA,NA,NA,NA,1352,no,NA,,,Appendix D
IFMD_0059,original,OPW_0059,گل بلور و خورشید,گل بلور و خورشید,Gol-e Bolur va Khorshid,The Crystal Flower and the Sun,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,NA,NA,NA,NA,1355,yes,6,چاپ ششم تا سال 1366,Sixth edition by 1987 (1366).,Appendix D
IFMD_0060,original,OPW_0060,م‍ه‍م‍ان‍ه‍ای‌ ن‍اخ‍وان‍ده‌,م‍ه‍م‍ان‍ه‍ای‌ ن‍اخ‍وان‍ده‌,Mehmān-hā-ye Nākhāndeh,Uninvited Guests,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,NA,NA,NA,NA,1348,yes,21,این کتاب در سالهای 1348-1398 تجدید چاپ شده است.,This book was reprinted between 1969 and 2019 (1348 to 1398).,Appendix D
IFMD_0061,original,OPW_0061,ع‍م‍و ن‍وروز,ع‍م‍و ن‍وروز,Amu Nowruz,Uncle Nowruz,ai_literal_gloss,IA_0012,Farideh Farjam,فریده فرجام,NA,NA,NA,NA,1389,yes,5,چاپ پنجم تا سال 1395,Fifth edition by 2016 (1395).,Appendix D
IFMD_0062,original,OPW_0062,هرزه گیاه ماجراجو,هرزه گیاه ماجراجو,Harzeh Giyāh-e Mājerāju,The Adventurous Weed,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1348,no,NA,,,Appendix D
IFMD_0063,original,OPW_0063,روباه حیله گر و راسوی عاقل,روباه حیله گر و راسوی عاقل,Rubāh-e Hilegar va Rāsu-ye Āghel,The Cunning Fox and the Wise Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1335,yes,3,,,Appendix D
IFMD_0064,original,OPW_0064,ن‍خ‍ودی‌ و ح‍اک‍م,ن‍خ‍ودی‌ و ح‍اک‍م,Nokhodi va Hākem,Nokhodi and the Governor,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1349,no,NA,,,Appendix D
IFMD_0065,original,OPW_0065,م‍اج‍رای‌ م‍رد ه‍ی‍زم‌ش‍ک‍ن‌ و خ‍رس,م‍اج‍رای‌ م‍رد ه‍ی‍زم‌ش‍ک‍ن‌ و خ‍رس,Mājerā-ye Mard-e Hizom-Shekan va Khers,The Woodcutter and the Bear,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1353,no,NA,,,Appendix D
IFMD_0066,original,OPW_0066,م‍اج‍راه‍ای‌ راس‍و,م‍اج‍راه‍ای‌ راس‍و,Mājerāhā-ye Rāsu,The Adventures of the Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1353,no,NA,,,Appendix D
IFMD_0067,original,OPW_0067,راس‍وی‌ ش‍ج‍اع‌,راس‍وی‌ ش‍ج‍اع‌,Rāsu-ye Shojā',The Brave Weasel,ai_literal_gloss,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1353,no,NA,,,Appendix D
IFMD_0068,original,OPW_0068,ح‍اج‍ی‌ ف‍ی‍روز,ح‍اج‍ی‌ ف‍ی‍روز,Hāji Firuz,Haji Firuz,official_translation,IA_0008,Dariush Ebadollahi,داریوش عباداللهی,NA,NA,NA,NA,1349,yes,2,,,Appendix D
IFMD_0069,original,OPW_0069,ماهی سیاه کوچولو,ماهی سیاه کوچولو,Māhi-ye Siyāh-e Kuchulu,The Little Black Fish,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,NA,NA,NA,NA,1346,yes,multiple,توسط انتشارات مختلف تجدید چاپ شده,Reprinted by various publishers.,Appendix D
IFMD_0070,original,OPW_0070,یک هلو و هزار هلو,یک هلو و هزار هلو,Yek Holu va Hezār Holu,One Peach and a Thousand Peaches,ai_literal_gloss,IA_0032,Samad Behrangi,صمد بهرنگی,NA,NA,NA,NA,1348,yes,multiple,توسط انتشارات مختلف تجدید چاپ شده,Reprinted by various publishers.,Appendix D
IFMD_0071,original,OPW_0071,الدوز و کلاغ ها,الدوز و کلاغ ها,Alduz va Kalāgh-hā,Alduz and the Crows,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,NA,NA,NA,NA,1348,yes,4,,,Appendix D
IFMD_0072,original,OPW_0072,الدوز و عروسک سخنگو,الدوز و عروسک سخنگو,Alduz va Arusak-e Sokhangū,Alduz and the Talking Doll,official_translation,IA_0032,Samad Behrangi,صمد بهرنگی,NA,NA,NA,NA,1378,no,NA,,,Appendix D
IFMD_0073,original,OPW_0073,افسانه‌های آذربایجان,افسانه‌های آذربایجان,Afsāneh-hā-ye Āzarbāyjān,Tales of Azerbaijan,ai_literal_gloss,IA_0032,Samad Behrangi,صمد بهرنگی,NA,NA,NA,NA,1377,no,NA,,,Appendix D
IFMD_0074,original,OPW_0074,آ،ب و گندم,آ،ب و گندم,"Ā, b, va Gandom",Water and Wheat,ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,NA,NA,NA,NA,NA,NA,NA,,,Appendix D
IFMD_0075,original,OPW_0075,میهمانی مهتاب,میهمانی مهتاب,Mehmāni-ye Mahtāb,Moonlight Feast,ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,NA,NA,NA,NA,1380,no,NA,,,Appendix D
IFMD_0076,original,OPW_0076,با هم، با شدن و بی‌شدن,با هم، با شدن و بی‌شدن,"Bā Ham, Bā Shodan va Bi-Shodan","Together, Becoming and Unbecoming",ai_literal_gloss,IA_0029,Qodsi Ghazinour,قدسی قاضی‌نور,NA,NA,NA,NA,1357,no,NA,,,Appendix D
IFMD_0077,original,OPW_0077,قصۀ آقا کوزه,قصۀ آقا کوزه,Ghesseh-ye Āghā Kuzeh,The Tale of Mr. Pitcher,ai_literal_gloss,IA_0004,Akbar Nemati,اکبر نعمتی,NA,NA,NA,NA,1352,no,NA,,,Appendix D
IFMD_0078,original,OPW_0078,سرگذشت چمنزار بزرگ,سرگذشت چمنزار بزرگ,Sargozasht-e Chamanzār-e Bozorg,The Story of the Great Meadow,ai_literal_gloss,IA_0036,Shakur Lotfi,شکور لطفی,NA,NA,NA,NA,1365,yes,4,,,Appendix D
